#Title;Digilent WaveForms Oscilloscope Data
#Device Name;Analog Discovery
#Serial Number;SN:210244449474
#Software Version;2.4.4
Time (s);C1 (V);C2 (V)
5.259E-05;0.0607174880746048;1.60047334057414
5.26E-05;0.0613837913767971;1.60047334057414
5.261E-05;0.0613837913767971;1.60013711035351
5.262E-05;0.0613837913767971;1.60148203123601
5.263E-05;0.0603843364235087;1.60282695211851
5.264E-05;0.0613837913767971;1.60047334057414
5.265E-05;0.0593848814702203;1.60249072189789
5.266E-05;0.0607174880746048;1.60114580101539
5.267E-05;0.0597180331213164;1.60148203123601
5.268E-05;0.0607174880746048;1.60181826145664
5.269E-05;0.0603843364235087;1.60080957079476
5.27E-05;0.0583854265169318;1.60249072189789
5.271E-05;0.0603843364235087;1.60215449167726
5.272E-05;0.0597180331213164;1.60181826145664
5.273E-05;0.0607174880746048;1.60249072189789
5.274E-05;0.0607174880746048;1.60114580101539
5.275E-05;0.0597180331213164;1.59879218947101
5.276E-05;0.0603843364235087;1.59946464991226
5.277E-05;0.0603843364235087;1.59879218947101
5.278E-05;0.0603843364235087;1.60282695211851
5.279E-05;0.0593848814702203;1.60047334057414
5.28E-05;0.0583854265169318;1.59912841969163
5.281E-05;0.0600511847724126;1.60047334057414
5.282E-05;0.063382701283374;1.60047334057414
5.283E-05;0.112689145645604;1.60181826145664
5.284E-05;0.164327651565506;1.60114580101539
5.285E-05;0.201307484837179;1.60114580101539
5.286E-05;0.22196288720514;1.60181826145664
5.287E-05;0.240619379666524;1.60047334057414
5.288E-05;0.250613929199408;1.60282695211851
5.289E-05;0.2599421754301;1.60316318233914
5.29E-05;0.266938360103119;1.60215449167726
5.291E-05;0.278265516240388;1.60450810322164
5.292E-05;0.280930729449157;1.60282695211851
5.293E-05;0.279598122844773;1.60215449167726
5.294E-05;0.279264971193677;1.60316318233914
5.295E-05;0.274267696427235;1.60249072189789
5.296E-05;0.270269876614081;1.60349941255976
5.297E-05;0.2686041183586;1.60349941255976
5.298E-05;0.270269876614081;1.60450810322164
5.299E-05;0.27293508982285;1.60282695211851
5.3E-05;0.275600303031619;1.60349941255976
5.301E-05;0.277932364589292;1.60181826145664
5.302E-05;0.275267151380523;1.60282695211851
5.303E-05;0.275267151380523;1.60114580101539
5.304E-05;0.275267151380523;1.60080957079476
5.305E-05;0.275267151380523;1.59980088013289
5.306E-05;0.273601393125042;1.59778349880913
5.307E-05;0.274600848078331;1.59677480814726
5.308E-05;0.274933999729427;1.59173135483788
5.309E-05;0.276599757984908;1.59072266417601
5.31E-05;0.277932364589292;1.5839980597635
5.311E-05;0.276932909636004;1.5813082179985
5.312E-05;0.2772660612871;1.57929083667475
5.313E-05;0.276932909636004;1.57357492292412
5.314E-05;0.2772660612871;1.57054885093849
5.315E-05;0.2772660612871;1.56920393005599
5.316E-05;0.277932364589292;1.56382424652599
5.317E-05;0.275267151380523;1.55878079321661
5.318E-05;0.276599757984908;1.55878079321661
5.319E-05;0.2772660612871;1.55407357012786
5.32E-05;0.279598122844773;1.55373733990724
5.321E-05;0.276266606333811;1.54634027505348
5.322E-05;0.276266606333811;1.54768519593598
5.323E-05;0.275267151380523;1.54499535417098
5.324E-05;0.276932909636004;1.54331420306786
5.325E-05;0.278598667891484;1.54028813108223
5.326E-05;0.278598667891484;1.5412968217441
5.327E-05;0.278598667891484;1.53827074975848
5.328E-05;0.278598667891484;1.53759828931723
5.329E-05;0.278265516240388;1.53793451953785
5.33E-05;0.278931819542581;1.53961567064098
5.331E-05;0.278265516240388;1.53927944042035
5.332E-05;0.275267151380523;1.53894321019973
5.333E-05;0.277599212938196;1.54196928218535
5.334E-05;0.276599757984908;1.54465912395036
5.335E-05;0.279264971193677;1.54196928218535
5.336E-05;0.279264971193677;1.54802142615661
5.337E-05;0.279264971193677;1.54566781461223
5.338E-05;0.278931819542581;1.54903011681848
5.339E-05;0.2772660612871;1.55440980034849
5.34E-05;0.281263881100254;1.55340110968661
5.341E-05;0.279931274495869;1.55541849101036
5.342E-05;0.279264971193677;1.55642718167224
5.343E-05;0.278598667891484;1.56079817454036
5.344E-05;0.279598122844773;1.56113440476099
5.345E-05;0.280597577798061;1.56348801630537
5.346E-05;0.278598667891484;1.56348801630537
5.347E-05;0.279931274495869;1.56617785807037
5.348E-05;0.279931274495869;1.56584162784974
5.349E-05;0.280264426146965;1.56886769983537
5.35E-05;0.279598122844773;1.56954016027662
5.351E-05;0.277932364589292;1.57155754160037
5.352E-05;0.278931819542581;1.57525607402725
5.353E-05;0.279598122844773;1.57357492292412
5.354E-05;0.280930729449157;1.57223000204162
5.355E-05;0.279598122844773;1.57559230424787
5.356E-05;0.279931274495869;1.5732386927035
5.357E-05;0.277599212938196;1.57223000204162
5.358E-05;0.280264426146965;1.57491984380662
5.359E-05;0.279264971193677;1.57122131137975
5.36E-05;0.276266606333811;1.57021262071787
5.361E-05;0.278931819542581;1.56685031851162
5.362E-05;0.279931274495869;1.56752277895287
